StockistCode,StateID,StateName,DistrictName,CityName,CityID,RMName,DGMName
AIOCDW842,14,KARNATAKA,VIJAYAPURA (BIJAPUR),VIJAYAPURA (BIJAPUR),546,VACANCY,VACANCY
AIOCDW868,17,Punjab & JHC,AMRITSAR,AMRITSAR,29,VACANCY,VACANCY
AIOCDW870,17,Punjab & JHC,AMRITSAR,AMRITSAR,29,VACANCY,VACANCY
AIOCDW871,17,Punjab & JHC,AMRITSAR,AMRITSAR,29,VACANCY,VACANCY
AIOCDW906,20,UTTARAKHAND UP WEST,BAGHPAT,BARAUT,412,VACANCY,VACANCY
AIOCDW907,20,UTTARAKHAND UP WEST,BAGHPAT,BARAUT,412,VACANCY,VACANCY
AIOCDX089,2,ANDHRA PRADESH,WEST GODAVARI,TANUKU,522,VACANCY,VACANCY
AIOCDX172,4,BIHAR,MADHUBANI,MADHUBANI,20,VACANCY,VACANCY
AIOCDX179,3,NORTH EAST,DARRANG,MANGALDOI,889,VACANCY,VACANCY
AIOCDW993,11,JHARKHAND,GODDA,GODDA,347,VACANCY,VACANCY
AIOCDX020,15,MADHYA PRADESH,HARDA,HARDA,350,VACANCY,VACANCY
AIOCDX021,15,MADHYA PRADESH,HARDA,HARDA,350,VACANCY,VACANCY
AIOCDW833,20,UTTARAKHAND UP WEST,GHAZIABAD,GHAZIABAD,119,VACANCY,VACANCY
AIOCDW872,13,KERALA,KOZHIKODE,KOZHIKODE (CALICUT),2215,VACANCY,VACANCY
AIOCDW883,4,BIHAR,AURANGABAD (BIHAR),AURANGABAD(BH),938,VACANCY,VACANCY
AIOCDW884,4,BIHAR,AURANGABAD (BIHAR),AURANGABAD(BH),938,VACANCY,VACANCY
AIOCDW925,17,Punjab & JHC,TARN TARAN,TARN TARAN SAHIB,1767,VACANCY,VACANCY
AIOCDX202,19,TAMIL NADU,KARUR,KARUR,363,VACANCY,VACANCY
MHNK200321,7,MARATHWADA,NASHIK,NASHIK,1235,VACANCY,VACANCY
MHNK200322,7,MARATHWADA,NASHIK,NASHIK,1235,VACANCY,VACANCY
AIOCDX115,20,UTTARAKHAND UP WEST,ALIGARH,ALIGARH,112,VACANCY,VACANCY
MHSO200285,7,MARATHWADA,SOLAPUR,SOLAPUR,645,VACANCY,VACANCY
AIOCDW821,14,KARNATAKA,DHARWAD,DHARWAD,561,VACANCY,VACANCY
MHSO200284,7,MARATHWADA,SOLAPUR,AKLUJ,312,VACANCY,VACANCY
AIOCDW882,20,UTTARAKHAND UP WEST,ALIGARH,ALIGARH,112,VACANCY,VACANCY
AIOCDW941,22,WEST BENGAL REST,HOOGHLY,HOOGHLY-CHINSURA,577,VACANCY,VACANCY
AIOCDY471,7,MARATHWADA,SOLAPUR,AKLUJ,312,VACANCY,VACANCY
MHSG200289,7,MARATHWADA,SOLAPUR,SOLAPUR,645,VACANCY,VACANCY
AIOCDX699,22,WEST BENGAL REST,HOOGHLY,HOOGHLY-CHINSURA,577,VACANCY,VACANCY
AIOCDX700,22,WEST BENGAL REST,HOOGHLY,HOOGHLY-CHINSURA,577,VACANCY,VACANCY
AIOCDX610,20,UTTARAKHAND UP WEST,ALIGARH,ALIGARH,112,VACANCY,VACANCY
AIOCDX611,20,UTTARAKHAND UP WEST,ALIGARH,ALIGARH,112,VACANCY,VACANCY
AIOCDY929,1,TELANGANA,ANANTAPUR,ANANTAPUR,811,VACANCY,VACANCY
AIOCDY958,18,RAJASTHAN,UDAIPUR,UDAIPUR(RJ),94,VACANCY,VACANCY
AIOCDZ015,8,GUJARAT,DAHOD,DAHOD,2175,VACANCY,VACANCY
AIOCDZ035,22,WEST BENGAL REST,HOOGHLY,HOOGHLY-CHINSURA,577,VACANCY,VACANCY
MHNK200333,7,MARATHWADA,NASHIK,MALEGAON,1222,VACANCY,VACANCY
MHSG200294,7,MARATHWADA,SANGLI,SANGLI,512,VACANCY,VACANCY
AIOCDAB41,20,UTTARAKHAND UP WEST,ALIGARH,ALIGARH,112,VACANCY,VACANCY
AIOCDAB57,1,TELANGANA,ANANTAPUR,ANANTAPUR,811,VACANCY,VACANCY
AIOCDAB58,1,TELANGANA,ANANTAPUR,ANANTAPUR,811,VACANCY,VACANCY
AIOCDW543,18,RAJASTHAN,JAIPUR,JAIPUR,87,VACANCY,VACANCY
AIOCDW552,18,RAJASTHAN,JAIPUR,JAIPUR,87,VACANCY,VACANCY
AIOCDW559,21,UP EAST,GORAKHPUR,GORAKHPUR,203,VACANCY,VACANCY
AIOCDW590,21,UP EAST,GORAKHPUR,GORAKHPUR,203,VACANCY,VACANCY
MHWS200040,12,MUMBAI,MUMBAI,MUMBAI,425,VACANCY,VACANCY
MHNG200350,24,VIDARBHA,NAGPUR,NAGPUR,490,VACANCY,VACANCY
MHMU201218,12,MUMBAI,MUMBAI,MUMBAI,425,VACANCY,VACANCY
AIOCDW507,19,TAMIL NADU,THANJAVUR,THANJAVUR,244,VACANCY,VACANCY
AIOCDW563,23,KOLKATA,HOWRAH,HOWRAH,177,VACANCY,VACANCY
AIOCDW588,23,KOLKATA,HOWRAH,HOWRAH,177,VACANCY,VACANCY
AIOCDW513,18,RAJASTHAN,BHILWARA,BHILWARA,84,VACANCY,VACANCY
AIOCDW529,8,GUJARAT,ANAND,ANAND,53,VACANCY,VACANCY
AIOCDW541,6,DELHI,WEST DELHI,WEST DELHI,1563,VACANCY,VACANCY
AIOCDW544,14,KARNATAKA,BENGALURU,BENGALURU(BANGALORE),236,VACANCY,VACANCY
AIOCDW565,14,KARNATAKA,BENGALURU,BENGALURU(BANGALORE),236,VACANCY,VACANCY
AIOCDW571,14,KARNATAKA,BENGALURU,BENGALURU(BANGALORE),236,VACANCY,VACANCY
